recur,dim,N,delta,E_over_Q,Q_N,E_N,target_EoverQ,delta_inf,lambda1,lambda2,lambda3,lambda4,lambda5,lambda6,gap12,gap23,gap34,gap45,gap56
f3g4,3,100,0.4669981237413663,1.4669981237413663,4.8560191691499,7.123771009995012,1.5,0.5,4.8560191691499,-2.2677518408451114,-2.5882673283047897,,,,7.123771009995012,0.3205154874596783,,,
f3g4,3,500,0.48813166754537485,1.4881316675453748,6.3548326180923,9.456827660933435,1.5,0.5,6.3548326180923,-3.101995042841134,-3.2528375752511702,,,,9.456827660933435,0.15084253241003642,,,
f3g4,3,1000,0.4923328602184933,1.4923328602184933,7.029593305292397,10.490493083459775,1.5,0.5,7.029593305292397,-3.460899778167378,-3.5686935271250246,,,,10.490493083459775,0.1077937489576466,,,
f3g4,3,2000,0.49502505722290047,1.4950250572229005,7.712339023396413,11.53014008977563,1.5,0.5,7.712339023396413,-3.8178010663792166,-3.8945379570171985,,,,11.53014008977563,0.07673689063798195,,,
f3g4,3,5000,0.497170759929368,1.497170759929368,8.621576209003713,12.907971804623049,1.5,0.5,8.621576209003713,-4.286395595619335,-4.335180613384371,,,,12.907971804623049,0.04878501776503619,,,
f3g4,3,10000,0.49814373090460573,1.4981437309046057,9.312080562474284,13.950835116349483,1.5,0.5,9.312080562474284,-4.638754553875199,-4.67332600859906,,,,13.950835116349483,0.034571454723861805,,,
f0g4,6,100,0.12602350741599322,1.1260235074159932,6.679533381058641,7.521311605641859,1.2,0.2,6.679533381058641,-0.8417782245832187,-0.8570903866830207,-0.977569711370608,-1.0039444942163562,-1.053240415150124,7.521311605641859,0.015312162099802018,0.12047932468758726,0.026374782845748235,0.04929592093376778
f0g4,6,500,0.14686697153866501,1.146866971538665,8.230878461817843,9.439722654607856,1.2,0.2,8.230878461817843,-1.2088441927900127,-1.2083571269525362,-1.2748772785412852,-1.2811642349422445,-1.31172547953644,9.439722654607856,-0.0004870658374764858,0.06652015158874902,0.0062869564009593315,0.030561244594195403
f0g4,6,1000,0.15221923284581385,1.1522192328458138,8.91479528873128,10.271798588559431,1.2,0.2,8.91479528873128,-1.357003299828151,-1.3586205878272892,-1.4082872926890584,-1.409908836542081,-1.4350651227893783,10.271798588559431,0.001617287999138295,0.04966670486176916,0.001621543853022711,0.025156286247297155
f0g4,6,2000,0.156668051204504,1.156668051204504,9.602808204037945,11.107261451455193,1.2,0.2,9.602808204037945,-1.5044532474172472,-1.5046663756653995,-1.541772738408242,-1.543418093909281,-1.5625875995824732,11.107261451455193,0.00021312824815233888,0.037106362742842514,0.0016453555010389476,0.0191695056731922
f0g4,6,5000,0.16123517789428177,1.1612351778942818,10.515669678735287,12.211165550063676,1.2,0.2,10.515669678735287,-1.6954958713283883,-1.6958347870787391,-1.7213771470477237,-1.7214977879166458,-1.7355539363085053,12.211165550063676,0.0003389157503508322,0.025542359968984574,0.00012064086892205061,0.014056148391859535
f0g4,6,10000,0.16403869609018185,1.1640386960901818,11.207548714182813,13.046020391624557,1.2,0.2,11.207548714182813,-1.8384716774417433,-1.838722894677822,-1.8577881778128438,-1.8579569650317074,-1.8686988501634638,13.046020391624557,0.0002512172360786824,0.01906528313502176,0.0001687872188635975,0.010741885131756446
